 Counter value is: 60 	Fri Dec 10 12:19:03 2021
 Counter value is: 59 	Fri Dec 10 12:19:04 2021
 Counter value is: 58 	Fri Dec 10 12:19:05 2021
 Counter value is: 57 	Fri Dec 10 12:19:06 2021
 Counter value is: 56 	Fri Dec 10 12:19:07 2021
 Counter value is: 55 	Fri Dec 10 12:19:08 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:09 2021
 Counter value is: 60 	Fri Dec 10 12:19:09 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:09 2021
 Counter value is: 60 	Fri Dec 10 12:19:09 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:09 2021
 Counter value is: 60 	Fri Dec 10 12:19:09 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:10 2021
 Counter value is: 60 	Fri Dec 10 12:19:10 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:10 2021
 Counter value is: 60 	Fri Dec 10 12:19:10 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:10 2021
 Counter value is: 60 	Fri Dec 10 12:19:10 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:10 2021
 Counter value is: 60 	Fri Dec 10 12:19:10 2021
 Counter value is: 60 	Fri Dec 10 12:19:10 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:10 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:11 2021
 Counter value is: 60 	Fri Dec 10 12:19:11 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:11 2021
 Counter value is: 60 	Fri Dec 10 12:19:11 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:11 2021
 Counter value is: 60 	Fri Dec 10 12:19:11 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:11 2021
 Counter value is: 60 	Fri Dec 10 12:19:11 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:12 2021
 Counter value is: 60 	Fri Dec 10 12:19:12 2021
 Counter value is: 60 	Fri Dec 10 12:19:12 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:12 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:12 2021
 Counter value is: 60 	Fri Dec 10 12:19:12 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:12 2021
 Counter value is: 60 	Fri Dec 10 12:19:12 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:13 2021
 Counter value is: 60 	Fri Dec 10 12:19:13 2021
 SIGNAL RECEIVED 	Fri Dec 10 12:19:13 2021
 Counter value is: 60 	Fri Dec 10 12:19:13 2021
